"","latinSquare","faceGender","faceStyle","skinDetails","skinColor","hairColor","eyeColor","eyeShape","eyeOpening","eyeSize","eyeHeight","eyeDistance","eyeDepth","eyeRotation","eyebrowsColor","eyebrowsShape","eyebrowsLine","noseShape","noseLength","noseWidth","noseBridge","noseCartilage","foreheadHeight","cheeksBone","jawShape","jawChin","jawLength","throatSize","earSize","mouthVolume","lipRatio","mouthOverlap","mouthWidth","mouthHeight","mouthDepth","eyeShadow","lipStick","rouge"
"21","GoogleF",0,0,0.5,0.78021978021978,0.28021978021978,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.593406593406593,0.675824175824176,0.351648351648352,0.445054945054945,0.406593406593407,0.5,0.5,0.5,0.675824175824176,0.5,0.5,0.5,0.362637362637363,0.351648351648352,0.28021978021978,0.5,0.5,0.5,0.5,0.5,0.230769230769231,0.269230769230769,0.258241758241758
"22","SiriF",0,0,0.104395604395604,0.582417582417582,0.741758241758242,0.901098901098901,0.483516483516484,0.0879120879120879,0.521978021978022,0.505494505494505,0.5,0.56043956043956,0.510989010989011,0.401098901098901,0.582417582417582,0.747252747252747,0.554945054945055,0.516483516483517,0.5,0.5,0.5,0.423076923076923,0.505494505494505,0.214285714285714,0.296703296703297,0.324175824175824,0.505494505494505,0.494505494505495,0.554945054945055,0.467032967032967,0.642857142857143,0.505494505494505,0.521978021978022,0.379120879120879,0.351648351648352,0.851648351648352,0.401098901098901
"23","RobotM",0.692307692307692,0,0.565934065934066,0.593406593406593,0.384615384615385,0.126373626373626,0.357142857142857,0.346153846153846,0.637362637362637,0.5,0.461538461538462,0.697802197802198,0.5,0.505494505494505,0.423076923076923,0.554945054945055,0.626373626373626,0.626373626373626,0.593406593406593,0.494505494505495,0.5,0.5,0.5,0.697802197802198,0.648351648351648,0.521978021978022,0.527472527472527,0.620879120879121,0.659340659340659,0.587912087912088,0.5,0.445054945054945,0.554945054945055,0.587912087912088,0,0,0
"24","AlexaF",0.115384615384615,0.21978021978022,0.263736263736264,0.791208791208791,0.521978021978022,0.208791208791209,0.32967032967033,0.164835164835165,0.247252747252747,0.428571428571429,0.318681318681319,0.703296703296703,0.423076923076923,0.516483516483517,0.527472527472527,0.445054945054945,0.478021978021978,0.373626373626374,0.39010989010989,0.494505494505495,0.406593406593407,0.5,0.741758241758242,0.131868131868132,0.175824175824176,0.302197802197802,0.434065934065934,0.362637362637363,0.32967032967033,0.423076923076923,0.686813186813187,0.357142857142857,0.467032967032967,0.395604395604396,0.346153846153846,0.318681318681319,0.335164835164835
"25","CortanaF",0,0.0604395604395604,0.021978021978022,0.730769230769231,0.895604395604396,0.664835164835165,0.521978021978022,0.472527472527472,0.653846153846154,0.467032967032967,0.489010989010989,0.521978021978022,0.472527472527472,0.236263736263736,0.472527472527472,0.598901098901099,0.406593406593407,0.274725274725275,0.450549450549451,0.445054945054945,0.593406593406593,0.324175824175824,0.631868131868132,0.115384615384615,0.5,0.5,0.379120879120879,0.247252747252747,0.71978021978022,0.417582417582418,0.60989010989011,0.450549450549451,0.510989010989011,0.554945054945055,0.28021978021978,0.736263736263736,0.43956043956044
"27","RobotM",1,0,0.857142857142857,0.785714285714286,0.203296703296703,0.0659340659340659,0.604395604395604,0.0989010989010989,0.32967032967033,0.175824175824176,0.593406593406593,0.846153846153846,0.510989010989011,0.489010989010989,0.983516483516483,1,0.697802197802198,0.708791208791209,0.587912087912088,0.714285714285714,0.43956043956044,0.730769230769231,0.813186813186813,0.708791208791209,0,0.747252747252747,0.186813186813187,0.730769230769231,0.346153846153846,0.747252747252747,0.274725274725275,0,0.604395604395604,0.642857142857143,0,0,0
"28","AlexaF",0,0.043956043956044,0.214285714285714,0.67032967032967,0.0879120879120879,0.406593406593407,0.5,0.379120879120879,0.532967032967033,0.483516483516484,0.5,0.543956043956044,0.5,0.417582417582418,0.631868131868132,0.247252747252747,0.384615384615385,0.401098901098901,0.417582417582418,0.384615384615385,0.631868131868132,0.406593406593407,0.554945054945055,0.28021978021978,0.340659340659341,0.318681318681319,0.186813186813187,0.357142857142857,0.576923076923077,0.571428571428571,0.467032967032967,0.576923076923077,0.450549450549451,0.362637362637363,0,0,0
"29","GoogleF",0,0,0,0.840659340659341,0.901098901098901,0.703296703296703,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.879120879120879,0.5,0.5,0.417582417582418,0.362637362637363,0.395604395604396,0.362637362637363,0.708791208791209,0.565934065934066,0.593406593406593,0.5,0.225274725274725,0.351648351648352,0.153846153846154,0.434065934065934,0.236263736263736,0.5,0.5,0.604395604395604,0.5,0.434065934065934,0,0.274725274725275,0
"30","CortanaF",0,0,0.351648351648352,0.472527472527472,0.32967032967033,0.120879120879121,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.681318681318681,0.593406593406593,0.703296703296703,0.5,0.401098901098901,0.412087912087912,0.450549450549451,0.593406593406593,0.565934065934066,0.406593406593407,0.32967032967033,0.412087912087912,0.236263736263736,0.214285714285714,0.5,0.615384615384615,0.582417582417582,0.5,0.5,0.5,0.5,0.291208791208791,0.335164835164835,0
"31","SiriF",0,0,0.5,0.67032967032967,0,0.0769230769230769,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.362637362637363,0.379120879120879,0.395604395604396,0.340659340659341,0.620879120879121,0.565934065934066,0.659340659340659,0.313186813186813,0.17032967032967,0.324175824175824,0.175824175824176,0.368131868131868,0.296703296703297,0.5,0.5,0.5,0.406593406593407,0.5,0,0,0
"32","SiriM",0.82967032967033,0,0.236263736263736,0.626373626373626,0.901098901098901,0.620879120879121,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.686813186813187,0.604395604395604,0.802197802197802,0.543956043956044,0.472527472527472,0.434065934065934,0.357142857142857,0.5,0.258241758241758,0.318681318681319,0.565934065934066,0.956043956043956,0.620879120879121,0.582417582417582,0.510989010989011,0.351648351648352,0.5,0.5,0.401098901098901,0.5,0.5,0,0,0
"33","SiriF",0.021978021978022,0,0.247252747252747,0.78021978021978,0.554945054945055,0.318681318681319,0.5,0.5,0.582417582417582,0.5,0.5,0.5,0.434065934065934,0.604395604395604,0.461538461538462,0.401098901098901,0.472527472527472,0.434065934065934,0.532967032967033,0.335164835164835,0.401098901098901,0.5,0.554945054945055,0.324175824175824,0.576923076923077,0.538461538461538,0.5,0.483516483516484,0.598901098901099,0.445054945054945,0.642857142857143,0.412087912087912,0.489010989010989,0.510989010989011,0.175824175824176,0.335164835164835,0.241758241758242
"34","AlexaF",0.263736263736264,0.0659340659340659,0.692307692307692,0.604395604395604,0.032967032967033,0.384615384615385,0.142857142857143,0.340659340659341,0.571428571428571,0.5,0.472527472527472,0.675824175824176,0.5,0.5,0.5,0.5,0.445054945054945,0.5,0.445054945054945,0.456043956043956,0.434065934065934,0.703296703296703,0.543956043956044,0.434065934065934,0.395604395604396,0.527472527472527,0.516483516483517,0.43956043956044,0.417582417582418,0.368131868131868,0.5,0.532967032967033,0.5,0.538461538461538,0.17032967032967,0.17032967032967,0.186813186813187
